,full_text,user_location,friends_count,followers_count,reply_count,retweet_count,favorite_count,created_date,manual_positivity,index
20,"There's been a lot of interest in this non-randomized controlled trial of hydroxychloroquine (HCQ, an antimalarial) and azithromycin (an antibiotic) in treating COVID-19: https://t.co/ZxCkqScdjv","Ann Arbor, MI",1282,1772,6,97,158,2020-03-21,neu,310
21,A French study has demonstrated evidence that the combination of Hydroxychloroquine &amp; Azithromycin are highly effective in treating Covid-19.,"London, UK",3260,1271,0,2,4,2020-03-21,pos,311
22,If only hydroxychloroquine &amp; azithromycin could be made available as fast! But Dr. Fauci has to do clinical trials first so others don't get the credit he wants for himself! @VP @realDonaldTrump,Chicago,11300,11428,0,0,0,2020-03-21,pos,312
23,@DarrellCHarris “Avoid coadministration of hydroxychloroquine and azithromycin. Hydroxychloroquine increases the QT interval and should not be administered ...Ventricular arrhythmias and torsade de pointes (TdP) have been reported”,"Rhode Island, USA",501,131,1,0,0,2020-03-21,neg,313
24,hydroxychloroquine is also on backorder as of this week due to doctors believing it will work against covid-19 And it went from being a 2$ bottle for a 100 tablets so better believe that same bottle will be hundreds of dollars once back in stock.,Where the wild things are,381,589,1,0,3,2020-03-21,neu,314
25,"@pepperebbe @townhallcom @KurtSchlichter @PeterAlexander @POTUS @realDonaldTrump I didn’t see Fauci laughing, though maybe he did - but I sure saw him staring, stone faced when Trump was blathering about hydroxychloroquine,especially the day before",Las Vegas,98,22,0,0,0,2020-03-21,neg,315
26,"one thing - i take hydroxychloroquine (plaquenil) on the daily to help me survive, along with many others who suffer from auto-immune diseases. many people order a monthly supply of this drug, please don’t take that away. second, everyone should also know the common side effects:","Chesapeake, VA",4996,4537,1,0,2,2020-03-21,neu,316
27,"Has anyone checked to see if any of the Trumps own stock in #Azithromycin or #Hydroxychloroquine 

#TrumpLiesPeopleDie 
#CoronaVirusUpdate","North English, Iowa",689,103,1,0,0,2020-03-21,neg,317
28,"@realDonaldTrump Taking Hydroxychloroquine &amp; Azithromycin together causes a drug interaction that increases risk of irregular heartbeat, which may be life-threatening. No one should take these drugs together without consulting a doctor.

https://t.co/vLALqD5Jgu…

https://t.co/Ax0aWkIa9Q…","Sunny, Funny, Los Angeles, CA",6885,6310,0,0,0,2020-03-21,neg,318
29,I sure do hope my doctor has my hydroxychloroquine. Now that it’s a possible medication for the #coronavirus I’m currently out of it and need a refill. #worried #lupus #autoimmunedisease #kidneytransplant,"California, USA",315,65,0,0,0,2020-03-21,neu,319
30,Please listen to real scientists and physicians rather than @realDonaldTrump on the miraculous benefit of #Hydroxychloroquine + #Azithromycin. It’s NOT a game changer! #Covid_19,"Houston, TX",516,1011,25,32,96,2020-03-21,neg,320
31,"@LeaveCrosscheck @Ebetharama Yes! That is correct. I have been told there is a nationwide backorder by pharmacist. And my sister, who also has lupus and relies on hydroxychloroquine was told they could give her only 5 pills and that she would have to return to the pharmacy to get more.",,275,1456,1,0,2,2020-03-21,neu,321
32,"Here's the thing. tRump is giving deadly advice.
🚫Avoid coadministration of Azithromycin&amp; hydroxychloroquine. This can increase the amount of time it takes the heart's conductive cycle to reset, which can cause a fatal arrhythmia🚫
https://t.co/xXlF33NTQn","Omaha, NE",1024,1042,1,2,3,2020-03-21,neg,322
33,My cousin has Lupus. #Walgreens is refusing to give her her medicine HYDROXYCHLOROQUINE so they can give it to people with COVID 19. You can not kill one to save another.,,116,52,0,0,0,2020-03-21,neg,323
34,I have been taking hydroxychloroquine for a decade. It’s not a medication to be taken without a doctors guidence.Please do not just go out and take it the side effects can be very serious from this medication. https://t.co/3la0nPWkK6 #Hydroxychloroquine #HydroxyChloroquin,"West Hollywood, CA",2712,1672,1,2,2,2020-03-21,neg,324
35,"So, the President's grand plan is kill citizens by suggesting a potentially dangerous cocktail of azithromycin and hydroxychloroquine. He must have his money tied up with the drug companies supplying these. #TrumpLiesPeopleDie https://t.co/GQe5XWW96K","Cleveland, OH",776,536,2,4,18,2020-03-21,neg,325
36,"@SexCounseling @itsAdam @realDonaldTrump Disseminating unsubstantiated medical advice during a pandemic helps no one. There are people who take hydroxychloroquine for chronic medical conditions, and many of them now have limited/no access to it bc of the increased demand for it.",,1520,638,0,0,1,2020-03-21,neg,326
37,"As per 45, the silver bullet for the worse viral illness in a 100 years is an antibacterial + an antimalarial combination based on an non-randomized open-label « trial » published in a 4.6 impact factor journal. Welcome to Insanity. #Covid_19 #Azithromycin #hydroxychloroquine","Boston, MA",583,621,2,0,7,2020-03-21,neg,327
38,"To all the doctors that prescribed #Hydroxychloroquine for #covid19 to friends &amp; family, ""just because"".  Thanks for depleting nationwide supplies for those that really need it #sarcasm #doyourresearch","Houston & Galveston, Texas",464,1583,0,0,4,2020-03-21,neg,328
39,"Marmalade Marauder: Mix you some Zithromax and hydroxychloroquine. Very, very good stuff. You’ll be fine. 

Stupid people who take his advice: https://t.co/7S50v5o2e1",Nashville,1838,8604,1,0,11,2020-03-21,neg,329
40,"2. Hydroxychloroquine is an anti malarial drug that has been used for years to fight off malaria (a parasitic infection). There’s been studies showing hydroxychloroquine as effective but those studies had very small sample sizes. 
3. Hydroxychloroquine isn’t FDA approved yet....",,1151,706,1,0,0,2020-03-21,neg,330
41,@drskyskull I take hydroxychloroquine. He really should STFU.,"Seattle, Washington",1505,3672,0,0,1,2020-03-21,pos,331
42,"HYDROXYCHLOROQUINE &amp; AZITHROMYCIN, taken together, have a real chance to be one of the biggest game changers in the history of medicine. The FDA has moved mountains - Thank You! Hopefully they will BOTH (H works better with A, International Journal of Antimicrobial Agents).....","Washington, DC",50,85725414,69341,101604,374415,2020-03-21,pos,332
43,There are data that hydroxychloroquine saves lives in lupus.  Let’s listen to Tony Fauci and do a real clinical trial.,,936,484,1,3,27,2020-03-21,neu,333
44,"Please don't take hydroxychloroquine (Plaquenil) plus Azithromycin for #COVID19 UNLESS your doctor prescribes it. Both drugs affect the QT interval of your heart and can lead to arrhythmias and sudden death, especially if you are taking other meds or have a heart condition.",Republic of the Philippines,335,27605,2501,69684,139878,2020-03-21,neg,334
45,Hydroxychloroquine and azithromycin as a treatment of COVID-19 https://t.co/jeIjEjON3i via @chrismartenson  @MedCramVideos,,64,22,0,0,0,2020-03-21,pos,335
46,I have taken hydroxychloroquine for close to 30 years to manage my lupus; it’s a critical component of my daily regime. I completely understand why we’d want to give it to people who are sick w/ COVID 19 but please don’t just get a Rx because of mere possibilities.,,275,1456,1,0,4,2020-03-21,neu,336
47,From the last couple of days the hype over the Chloroquine (CQ) and Hydroxychloroquine (HCQ) treatment for #COVID19 has bothered me a lot. So I have decided to dig into the available &amp; published data. What is the evidence right now for treating #COVID19 patients with CQ or HCQ?,"Canberra, Australia",1582,12155,145,1598,2811,2020-03-21,neu,337
48,"Action mechanism of #hydroxychloroquine as #DMARD. In SARSCoV2, is it predominantly blocking excess immune reaction (cheap Toci?) but 0% antiviral? Then, could it mask Sx in the preventive trial instead of protecting exposed ppl? @tmprowell @W_Park_MD @nickmmark @medicalaxioms","Bethesda, MD",1953,278,1,3,6,2020-03-21,neu,338
49,@PeterHotez @CNN Why isn’t prophylactic hydroxychloroquine a solution for healthcare providers.,,234,1784,0,0,0,2020-03-21,neu,339
50,Why don’t we start with the president and see if the hydroxychloroquine &amp; azithromycin work?,"Houston, TX",193,212,0,0,0,2020-03-21,neu,340
51,"@DonaldJTrumpJr Hydroxychloroquine, a substitute for Placquenil. I’ve been taking it for years to treat Rheumatoid Arthritis with no side affects!!!✊","Memphis, TN",623,336,0,0,0,2020-03-21,pos,341
52,"1.
Hydroxychloroquine, is an appealing option mainly because it’s an off-the-shelf drug. Companies know how to make it, there are low-cost generic versions available, and the drug has already been tested and approved for use against malaria and to treat inflammation https://t.co/X36Htfx3we","San Marcos, TX",1676,986,1,0,0,2020-03-21,neu,342
53,"@Rhino184 @412Shaggs1973 @joe_uccellini What are the side effects or dangers of HYDROXYCHLOROQUINE &amp; AZITHROMYCIN, taken together?",Edinboro Pa,497,207,1,0,0,2020-03-21,neu,343
54,"“Everyone, begin hoarding hydroxychloroquine &amp; azithromycin NOW!!!!!’”","Chicago ✈️ Dallas, Texas USA",1764,580,1,0,1,2020-03-21,neg,344
55,So u mean to tell me that haven’t been trying ZPac by now? Combined with Hydroxychloroquine? Shouldn’t that have been a first resort for bronchial tragedy? I’m not a doctor but I would have tried that first...damn I should have been an epidemiologist!,The USA and Worldwide,2009,991,0,0,0,2020-03-21,neu,345
56,@TrumpWarRoom “Avoid coadministration of hydroxychloroquine and azithromycin. Hydroxychloroquine increases the QT interval and should not be administered with other drugs known to prolong the QT interval. Ventricular arrhythmias and torsade de pointes (TdP) have been reported”,"Rhode Island, USA",501,131,0,0,1,2020-03-21,neg,346
57,"@EricTopol Eric - a huge issue here is they only report data on 20 of the 26 patients, and of the 6 - all deteriorated!  Six hydroxychloroquine-treated patients were lost in follow-up: they worsened and weee sent to the ICU!  They need to do last observation carried forward for those.",Boston,94,5251,1,2,10,2020-03-21,neu,347
58,Who in invested in companies producing hydroxychloroquine? https://t.co/uc4Wm8oqXj,"Vestavia Hills, AL",1065,91,0,0,0,2020-03-21,neu,348
59,About the Hydroxychloroquine + Azithromycin study 👇,"Utah, USA",782,1399,0,0,2,2020-03-21,neu,349
60,If you’re buying/hoarding Hydroxychloroquine and you dont have Lupus. You’re a fucking idiot and you should go fuck yourself. You’re taking medicine away from those who actually need it. JESUS CHRIST people are so dumb.,,302,358,0,0,6,2020-03-21,neg,350
61,@sathus6raja Oh  HYDROXYCHLOROQUINE is the malaria medicine?,Toronto,393,16848,1,0,0,2020-03-21,neu,351
62,"Azithromycin: (Major) Avoid coadministration of hydroxychloroquine and azithromycin. Hydroxychloroquine increases the QT interval and should not be administered with other drugs known to prolong the QT interval.
https://t.co/0u7FD2QrJ9 #medtwitter","Mason, Wisconsin",1333,1250,0,1,1,2020-03-21,neg,352
63,"For anyone who read the tweet from @realDonaldTrump saying hydroxychloroquine &amp; azithromycin can be a game changer for #Covid_19 if approved by FDA, please don’t take them together without consulting a doctor. The drug combination is not currently approved and can kill you.",California,10108,1414775,3087,17464,36326,2020-03-21,neg,353
64,"@itsTamBella As a lupus patient, most of us take chloroquine and/or hydroxychloroquine ... still tryna to understand how those meds can help with this respiratory issue.","Bridgeport, CT",474,848,1,1,1,2020-03-21,neu,354
65,(3) give us more time for studying drugs like hydroxychloroquine and and anti-vitals like Favilavi,PA,412,528,2,0,3,2020-03-21,neu,355
66,"... if u took micro, u wld know tht azithromycin is an antibiotic, which is for bacterial infections n hydroxychloroquine is used for malaria. pls don’t listen to this bozo",amor de casa,575,927,3,8,25,2020-03-21,neg,356
67,"hydroxychloroquine helps malaria patients-this is an anti-parasitic medication, meaning it is most likely NOT effective for covid-19. in addition to that, it is an immunosuppressive drug. it is ridiculous that he’s urging for the combination of these drugs as it could kill people",dana💐,288,404,0,0,4,2020-03-21,neg,357
68,"@MsGordo @DustinGiebel Hydroxychloroquine is available in Canada but for some reason, we can't get Chloroquine any more for my daughter's Lupus. She can't take Hydroxychloroquine.","Ontario, Canada",3842,3044,0,0,0,2020-03-21,neu,358
69,"Hydroxychloroquine, chloroquine and other potential COVID-19 treatments explained https://t.co/FvwwzGTwma","Surrey, British Columbia",519,49,0,0,0,2020-03-21,neu,359
70,"Listen to Donald Trump, MD, MsC, PhD....

May God help you 🤦‍♂️

(Conveniently, he forgot to tell you that Hydroxychloroquine can kill you if you get the wrong dosis).",The World,386,449,0,0,0,2020-03-21, n,360
71,"@kwbyram @kevinmd you could not have explained it better. I hope we are able to find the real indications (if any) for #tocilizumab, #Hydroxychloroquine, and other immunodulating drugs for #COVID19 through rigorous studies.....(1/2)","Birmingham, AL",680,853,1,0,0,2020-03-21,neu,361
72,@realDonaldTrump @Moluskein Tratamiento!!!!! Hay varios estudios clínicos en google. “Conclusion : Hydroxychloroquine is significantly associated with viral load reduction/disappearance in patients with COVID-19 and its effect is reinforced by Azithromycin.”,"California, USA",213,32,0,0,0,2020-03-21,pos,362
73,Been getting messages for hydroxychloroquine for a ‘theoretical’ concern of COVID-19. Please see thread below for what happens to pts with a disease where it has data and depend on it as a daily med. #WaitForData,"St Louis, MO",257,1180,1,0,7,2020-03-21,neu,363
74,"NEW DATA: A French study has demonstrated evidence that the combination of Hydroxychloroquine &amp; Azithromycin are highly effective in treating Covid-19.

The patients enrolled in the study showed complete viral eradication around the 5th day of treatment. https://t.co/JZzZ66w4rL",Instagram.com/MichaelCoudrey,99,272506,4595,25943,51478,2020-03-21,pos,364
75,I have fibromyalgia and MS and both cause chronic pain.according a study and patient reviews it has shown improvement with their chronic pain and they had less flare ups after being perscribed Hydroxychloroquine.I'm willing to try anything if I means not relying on Oxicodon,🧀WISCONSIN🧀,1714,1243,1,0,0,2020-03-21,neu,365
76,Hydroxychloroquine and azithromycin as a treatment of COVID-19 https://t.co/jeIjEjON3i via @BNODesk,,64,22,0,0,0,2020-03-21,pos,366
77,"@TommyAhlquist can shed any light on this.   Doctors Turn to Malaria Drugs as Potential Coronavirus Treatment
Some studies of chloroquine and hydroxychloroquine have shown early signs of improving symptoms and manufacturers are donating drugs or looking increase supplies",,98,4,0,0,0,2020-03-21,neu,367
78,#CuomoPrimeTime HydroxyChloroquine has been used successfully on patients in Iran Hospitals and not only in a test tube as per your Harvard guest claims. Please be responsible,"Manhattan, NY",16,10,0,1,0,2020-03-21,pos,368
79,@DrChoueiri Did u start taking prophylactic hydroxychloroquine doc?,Boston,447,613,0,0,0,2020-03-21,neu,369
80,"@CNN @andersoncooper #Caronavirus #Chloroquine #Hydroxychloroquine if I'm already on hydroxychloroquine, is it possible to be protected more than the average person? Could it just hide the virus and I don't know I have Carona!? #COVID19US","Boston, MA",755,324,0,0,0,2020-03-21,neu,370
81,"@michael_shiloh Hallo, you can read it here: Thread by @jpogue1: Guys. We need to talk about this Hydroxychloroquine + Azithromycin thing. It is out of hand. It all… https://t.co/sUM2Wnrap7. Have a good day. 🤖",Wherever threads are written..,1293,396459,2,75,106,2020-03-21,neu,371
82,"For all my autoimmune warriors like me who take and depend on Hydroxychloroquine (Plaquenil) to get through the daily chronic pain. Please take heed to this new information. If you can, try to get a 60 day supply or… https://t.co/3bfCAdz0HN","Los Angeles, CA",191,154,0,0,1,2020-03-21,neu,372
83,What is the dose of hydroxychloroquine and zithromycin and duration you used in your study?,,12,2,0,0,0,2020-03-21,neu,373
84,"So, I take Hydroxychloroquine Sulphate everyday for my arthritis - does that make me a Super Hero? I hope my pills don’t get as popular as TP #fakenews #arthritis",Calgary and PEI,1299,796,2,0,2,2020-03-21,neg,374
85,"@TiaBarracini People with Lupus need hydroxychloroquine to survive. 

As a result of the president’s idiotic and negligent tweets, those suffering cannot get the medication. 

He’s unnecessarily causing a shortage of this drug that has NOT been proven to fight Covid19.","New York, NY",1815,985,1,4,13,2020-03-21,neg,375
86,Very important thread on why we should temper enthusiasm for Hydroxychloroquine + Azithromycin for #COVIDー19 until more data available. Bigger trials needed before effectiveness can be claimed. Science doesn’t work on ‘feelings’,"San Diego, CA",758,929,2,1,9,2020-03-21,neu,376
87,And I guess I can say maybe I’ll be lucky because I take Hydroxychloroquine everyday now for arthritis.,AlAbAmA,2225,484,0,0,0,2020-03-21,pos,377
88,"@EngEongOoi I believe that @EngEongOoi for H1N1. But please explain how (1) mechanism of entry (pH dependence of fusion for pH1N1 differs from SARS or even SARS-CoV-2, (2) PK and bioavailability of HYDROXYCHLOROQUINE is markedly different from chloroquine (not just it’s in vitro IC50);  1/n","Manhattan, NY @IcahnMountSinai",888,26513,2,0,1,2020-03-21,neu,378
89,"@medicalaxioms I was able to pick up my prescription of hydroxychloroquine this morning, though it was a 30 day supply instead of my usual 90. So it's still available for those of us with #autoimmune disease but will require 3x as many trips to the pharmacy.","Winston-Salem, NC",278,147,1,0,1,2020-03-21,neu,379
90,"Azithromycin: (Major) Avoid coadministration of hydroxychloroquine and azithromycin. Hydroxychloroquine increases the QT interval and should not be administered with other drugs known to prolong the QT interval.
https://t.co/0u7FD2QrJ9 basically, heart issues","Mason, Wisconsin",1333,1250,0,0,0,2020-03-21,neg,380
91,@greta He needs to keep stressing people should not run out and take hydroxychloroquine. I have been taking it for 10 years it has very serious side effects let’s get answers before we go and take this drug,"West Hollywood, CA",2712,1672,0,0,0,2020-03-21,neg,381
92,"@MysterySolvent Two meds, millions of Americans have in their med cabinet. Hell, I have azythromycin aka z-pak, right now. I was given it for a urinary tract infection. Then told to stop it. Hydroxychloroquine(plaquenil) Used for SLE, rheumatoid arthritis. So irresponsibile to tell people this.",a little town west of Boston,2008,1312,0,0,1,2020-03-21,neg,382
93,@DrJenGunter @jack @realDonaldTrump I take hydroxychloroquine for arthritis. It can destroy your peripheral vision so regular visual field &amp; other eye tests not part of normal eye exams are required. Is Trump authorizing the government to cover those exam costs? Are there enough machines &amp; trained techs?,"Issaquah, WA",4620,1708,1,3,18,2020-03-21,neu,383
94,"Person Who Just Heard About HYDROXYCHLOROQUINE &amp; AZITHROMYCIN This Week Now Nation’s Leading Expert. 

My story: https://t.co/VJFOJ4olIn",The Great State of Ohio,606,1816,0,0,1,2020-03-21,neg,384
95,"@PatsFan876 @40AcresBuilt @TwitterSupport @jack And #Hydroxychloroquine may ultimately be shown to have some effectiveness after a more rigorous trial.

As may other therapeutic treatments underway. 

But if that @GaetanBurgio (who I don't know from Adam) thread is accurate, the French study is close to worthless.",The City,4826,1748,1,0,2,2020-03-21,neu,385
96,Isn’t hydroxychloroquine what a Robert Bales says made him murder 17 Afghans?,"Portland, OR",291,126,0,0,0,2020-03-21,neg,386
97,"Trump twtd,
“HYDROXYCHLOROQUINE &amp; AZITHROMYCIN, taken together, have a real chance to be one of the biggest game changers in the history of medicine. The FDA has moved mountains - Thank You! Hopefully they will BOTH (H works better with A, International Journal of...”

Thoughts?","Michigan, USA",59131,90214,830,87,346,2020-03-21,neu,387
98,"PLEASE SPREAD THIS NOW!

Hydroxychloroquine &amp; Azithromycin should *NOT* be taken together because they increase the risk of fatal cardiac arrhythmia due to QTc prolongation.

Do NOT listen to Trump the president.

Listen to Ed the professor of pharmacology.

#CoronavirusPandemic","New York, NY",48,6703,1433,53780,89525,2020-03-21,neg,388
99,"Fauci disputes Trump... 
Q: ""Is there evidence to suggest that [hydroxychloroquine] might be used as against COVID-19?"" Fauci: ""The information that you're referring to is anecdotal. It wasn't done in a controlled clinical trial, so you can't make a definitive statement about it.","Washington, DC",648,8718,0,2,3,2020-03-21,neg,389
100,"@SteveFDA What’s the statement of the FDA? 

This tweet is so irresponsable, we must keep in mind the patients who also need Hydroxychloroquine to live, just like Malaria, Lupus, anti-Phospholipid Syndrome patients.","Monterrey, Nuevo León",251,328,0,0,0,2020-03-21,neg,390
101,Incredibly irresponsible and damaging. I work for a long term care pharmacy and hydroxychloroquine is now on backorder and azithromycin soon to be now. Trump is such a dangerous moron.,Nashville,508,602,2,0,9,2020-03-21,neg,391
102,"🚨 Breakthrough?! “hydroxychloroquine is efficient in clearing viral nasopharyngeal carriage of SARS-CoV-2 in COVID-19 patients in only three to six days, in most patients (when compared to controls).” https://t.co/VBDZ8Cr1Wg @TIME @CMichaelGibson @theintercept @CNN","Cleveland, OH",519,678,0,0,1,2020-03-21,pos,392
103,"#Hydroxychloroquine is not ""entirely safe"" as Trump MD claims.
(long-term retina damage is possible)
(Medical Doofus)
https://t.co/2kTMlkafkZ","Flatbush, Brooklyn",16708,18453,0,2,2,2020-03-21,neg,393
104,"@pepperebbe @townhallcom @KurtSchlichter @PeterAlexander @POTUS @realDonaldTrump You know the media wouldn’t think to ask that anymore (if you’re anywhere near my age, anyway). But, that still doesn’t mean this guy’s question wasn’t a softball that a Ronald Reagan would’ve  “crushed”.
Truth: Trump was pissed that he was called out on the hydroxychloroquine!",Las Vegas,98,22,0,0,0,2020-03-21,neg,394
105,"Journalists should not be writing about #Hydroxychloroquine and other supposed cures but educating the public about how we test drugs, how we know they work. 6/","New Haven, CT",8388,63171,3,11,35,2020-03-21,neu,395
106,An interesting perspective pouring a bit of cold water on the addition of azithromycin to hydroxychloroquine treatment regimens for #COVID19 patients.,"San Francisco, CA",588,439,0,0,2,2020-03-21,neu,396
107,"hydroxychloroquine really might be the silver bullet that gets us out of this mess lol

amazing",San Antonio,188,3720,1,1,7,2020-03-21,pos,397
108,Collecting more on anti-viral properties of #Hydroxychloroquine recently on #SARSCoV2 remotely Dengue https://t.co/cV27spRyAQ https://t.co/PIfczv1MSN,"Bethesda, MD",1953,278,1,0,1,2020-03-21,pos,398
109,"What Exactly Is Hydroxychloroquine, The Drug That Is Being Tested As The First Potential Coronavirus ... via @forbes https://t.co/2A5kift9hL #covid #coronavirus","Vancouver, British Columbia",583,161,0,0,1,2020-03-21,neu,399
110,@thirdrowtesla Hydroxychloroquine can interrupt replication of the COVID 19 virus and lessen the immune system response in older people that leads to respiratory failure.  It needs to be given to severely ill people.  It has already een FDA approved for other illnesses and is available.,"Pennsylvania, USA",603,292,1,0,0,2020-03-21,pos,400
111,"@elonmusk Elon, I admire you a lot because of Tesla, SpaceX, and your humanitarian efforts, but do not encourage people to take hydroxychloroquine, please.",United States,253,302,0,0,0,2020-03-21,neg,401
112,Very skeptical of the new study using Azithromycin and Hydroxychloroquine treatment for #COVID19 very small uncontrolled study and too early and dangerous to generalize #PCCM,"Michigan, USA",384,205,0,0,2,2020-03-21,neg,402
113,"Because this tweet took off, Just to clarify: the @US_FDA backtracked on #DonaldTrump statement a few hours after this was reported and stated #Hydroxychloroquine  is NOT approved for #Covid_19 but studies are underway.","Houston, TX",516,1011,2,1,4,2020-03-21,neg,403
114,"@Marcel155Y @DebHiers1 @alexsalvinews @OANN @Newsweek @BlazeTV @QAnon_Report @onenewsnowcom Not as effective as the Chloroquine, maybe.  Hydroxychloroquine is not as TOXIC as Chloroquine. Hydroxychloroquine has been approved by the FDA for use, whereas chloroquin has not.","Haskell, OK",380,72,2,0,0,2020-03-21,pos,404
115,"Do you know the side effects of Hydroxychloroquine? Azithromycin? The side effects of taken together? Did you know that at certain dosages, hydroxychloroquine can lead to vision loss/defects or that azithromycin can cause eye infections? #CoronavirusPandemic #dumbass","Colorado, USA",519,111,2,0,2,2020-03-21,neg,405
116,"@leahmcelrath And people who take these drugs, such as #Hydroxychloroquine for #sarcoidosis or #rheumatoidarthritis, will be saddled with price increases and drug shortages.",,291,68,0,0,0,2020-03-21,neu,406
117,Coronavirus treatment breakthrough: French study shows that a combination of Hydroxychloroquine (HCQ) and Azithromycin are effective in treating COVID-19 patients. https://t.co/LSTTAhiJgv,"California, USA",55,6,0,0,0,2020-03-21,pos,407
